"Statistic Label","Census Year","Sex","Regular Unpaid Help","Principal Economic Status","UNIT","VALUE"
"Carers","2022","Both sexes","15-28 hours unpaid help per week","Others not in labour force","Number","498"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","All persons aged 15 years and over","Number","18172"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Persons at work","Number","10945"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Unemployed looking for first regular job","Number","97"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Unemployed having lost or given up previous job","Number","912"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Student or pupil","Number","476"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Looking after home/family","Number","2685"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Retired","Number","1958"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","757"
"Carers","2022","Both sexes","29-42 hours unpaid help per week","Others not in labour force","Number","342"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","All persons aged 15 years and over","Number","86407"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Persons at work","Number","32133"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Unemployed looking for first regular job","Number","299"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Unemployed having lost or given up previous job","Number","3149"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Student or pupil","Number","1322"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Looking after home/family","Number","26909"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Retired","Number","14986"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","4529"
"Carers","2022","Both sexes","43 or more hours unpaid help per week","Others not in labour force","Number","3080"
"Carers","2022","Both sexes","Not stated","All persons aged 15 years and over","Number","15948"
"Carers","2022","Both sexes","Not stated","Persons at work","Number","7507"
"Carers","2022","Both sexes","Not stated","Unemployed looking for first regular job","Number","180"
"Carers","2022","Both sexes","Not stated","Unemployed having lost or given up previous job","Number","975"
"Carers","2022","Both sexes","Not stated","Student or pupil","Number","603"
"Carers","2022","Both sexes","Not stated","Looking after home/family","Number","2310"
"Carers","2022","Both sexes","Not stated","Retired","Number","2703"
"Carers","2022","Both sexes","Not stated","Unable to work due to permanent sickness or disability","Number","1348"
"Carers","2022","Both sexes","Not stated","Others not in labour force","Number","322"
"Carers","2022","Male","All carers","All persons aged 15 years and over","Number","115181"
"Carers","2022","Male","All carers","Persons at work","Number","73524"
"Carers","2022","Male","All carers","Unemployed looking for first regular job","Number","724"
"Carers","2022","Male","All carers","Unemployed having lost or given up previous job","Number","5533"
"Carers","2022","Male","All carers","Student or pupil","Number","4389"
"Carers","2022","Male","All carers","Looking after home/family","Number","6797"
"Carers","2022","Male","All carers","Retired","Number","17796"
"Carers","2022","Male","All carers","Unable to work due to permanent sickness or disability","Number","5018"
"Carers","2022","Male","All carers","Others not in labour force","Number","1400"
"Carers","2022","Male","1-14 hours unpaid help per week","All persons aged 15 years and over","Number","55822"
"Carers","2022","Male","1-14 hours unpaid help per week","Persons at work","Number","41473"
"Carers","2022","Male","1-14 hours unpaid help per week","Unemployed looking for first regular job","Number","288"
"Carers","2022","Male","1-14 hours unpaid help per week","Unemployed having lost or given up previous job","Number","2126"
"Carers","2022","Male","1-14 hours unpaid help per week","Student or pupil","Number","2902"
"Carers","2022","Male","1-14 hours unpaid help per week","Looking after home/family","Number","812"
"Carers","2022","Male","1-14 hours unpaid help per week","Retired","Number","6395"
"Carers","2022","Male","1-14 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1603"
"Carers","2022","Male","1-14 hours unpaid help per week","Others not in labour force","Number","223"
"Carers","2022","Male","15-28 hours unpaid help per week","All persons aged 15 years and over","Number","14736"
"Carers","2022","Male","15-28 hours unpaid help per week","Persons at work","Number","9492"
"Carers","2022","Male","15-28 hours unpaid help per week","Unemployed looking for first regular job","Number","136"
"Carers","2022","Male","15-28 hours unpaid help per week","Unemployed having lost or given up previous job","Number","873"
"Carers","2022","Male","15-28 hours unpaid help per week","Student or pupil","Number","550"
"Carers","2022","Male","15-28 hours unpaid help per week","Looking after home/family","Number","728"
"Carers","2022","Male","15-28 hours unpaid help per week","Retired","Number","2098"
"Carers","2022","Male","15-28 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","690"
"Carers","2022","Male","15-28 hours unpaid help per week","Others not in labour force","Number","169"
"Carers","2022","Male","29-42 hours unpaid help per week","All persons aged 15 years and over","Number","7596"
"Carers","2022","Male","29-42 hours unpaid help per week","Persons at work","Number","5209"
"Carers","2022","Male","29-42 hours unpaid help per week","Unemployed looking for first regular job","Number","50"
"Carers","2022","Male","29-42 hours unpaid help per week","Unemployed having lost or given up previous job","Number","453"
"Carers","2022","Male","29-42 hours unpaid help per week","Student or pupil","Number","210"
"Carers","2022","Male","29-42 hours unpaid help per week","Looking after home/family","Number","442"
"Carers","2022","Male","29-42 hours unpaid help per week","Retired","Number","841"
"Carers","2022","Male","29-42 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","289"
"Carers","2022","Male","29-42 hours unpaid help per week","Others not in labour force","Number","102"
"Carers","2022","Male","43 or more hours unpaid help per week","All persons aged 15 years and over","Number","29792"
"Carers","2022","Male","43 or more hours unpaid help per week","Persons at work","Number","13513"
"Carers","2022","Male","43 or more hours unpaid help per week","Unemployed looking for first regular job","Number","151"
"Carers","2022","Male","43 or more hours unpaid help per week","Unemployed having lost or given up previous job","Number","1561"
"Carers","2022","Male","43 or more hours unpaid help per week","Student or pupil","Number","452"
"Carers","2022","Male","43 or more hours unpaid help per week","Looking after home/family","Number","4424"
"Carers","2022","Male","43 or more hours unpaid help per week","Retired","Number","7132"
"Carers","2022","Male","43 or more hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1769"
"Carers","2022","Male","43 or more hours unpaid help per week","Others not in labour force","Number","790"
"Carers","2022","Male","Not stated","All persons aged 15 years and over","Number","7235"
"Carers","2022","Male","Not stated","Persons at work","Number","3837"
"Carers","2022","Male","Not stated","Unemployed looking for first regular job","Number","99"
"Carers","2022","Male","Not stated","Unemployed having lost or given up previous job","Number","520"
"Carers","2022","Male","Not stated","Student or pupil","Number","275"
"Carers","2022","Male","Not stated","Looking after home/family","Number","391"
"Carers","2022","Male","Not stated","Retired","Number","1330"
"Carers","2022","Male","Not stated","Unable to work due to permanent sickness or disability","Number","667"
"Carers","2022","Male","Not stated","Others not in labour force","Number","116"
"Carers","2022","Female","All carers","All persons aged 15 years and over","Number","179188"
"Carers","2022","Female","All carers","Persons at work","Number","94270"
"Carers","2022","Female","All carers","Unemployed looking for first regular job","Number","654"
"Carers","2022","Female","All carers","Unemployed having lost or given up previous job","Number","5884"
"Carers","2022","Female","All carers","Student or pupil","Number","5527"
"Carers","2022","Female","All carers","Looking after home/family","Number","40337"
"Carers","2022","Female","All carers","Retired","Number","21498"
"Carers","2022","Female","All carers","Unable to work due to permanent sickness or disability","Number","7524"
"Carers","2022","Female","All carers","Others not in labour force","Number","3494"
"Carers","2022","Female","1-14 hours unpaid help per week","All persons aged 15 years and over","Number","77781"
"Carers","2022","Female","1-14 hours unpaid help per week","Persons at work","Number","52309"
"Carers","2022","Female","1-14 hours unpaid help per week","Unemployed looking for first regular job","Number","266"
"Carers","2022","Female","1-14 hours unpaid help per week","Unemployed having lost or given up previous job","Number","2289"
"Carers","2022","Female","1-14 hours unpaid help per week","Student or pupil","Number","3314"
"Carers","2022","Female","1-14 hours unpaid help per week","Looking after home/family","Number","8598"
"Carers","2022","Female","1-14 hours unpaid help per week","Retired","Number","8226"
"Carers","2022","Female","1-14 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","2350"
"Carers","2022","Female","1-14 hours unpaid help per week","Others not in labour force","Number","429"
"Carers","2022","Female","15-28 hours unpaid help per week","All persons aged 15 years and over","Number","25503"
"Carers","2022","Female","15-28 hours unpaid help per week","Persons at work","Number","13935"
"Carers","2022","Female","15-28 hours unpaid help per week","Unemployed looking for first regular job","Number","112"
"Carers","2022","Female","15-28 hours unpaid help per week","Unemployed having lost or given up previous job","Number","1093"
"Carers","2022","Female","15-28 hours unpaid help per week","Student or pupil","Number","749"
"Carers","2022","Female","15-28 hours unpaid help per week","Looking after home/family","Number","5092"
"Carers","2022","Female","15-28 hours unpaid help per week","Retired","Number","2928"
"Carers","2022","Female","15-28 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1265"
"Carers","2022","Female","15-28 hours unpaid help per week","Others not in labour force","Number","329"
"Carers","2022","Female","29-42 hours unpaid help per week","All persons aged 15 years and over","Number","10576"
"Carers","2022","Female","29-42 hours unpaid help per week","Persons at work","Number","5736"
"Carers","2022","Female","29-42 hours unpaid help per week","Unemployed looking for first regular job","Number","47"
"Carers","2022","Female","29-42 hours unpaid help per week","Unemployed having lost or given up previous job","Number","459"
"Carers","2022","Female","29-42 hours unpaid help per week","Student or pupil","Number","266"
"Carers","2022","Female","29-42 hours unpaid help per week","Looking after home/family","Number","2243"
"Carers","2022","Female","29-42 hours unpaid help per week","Retired","Number","1117"
"Carers","2022","Female","29-42 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","468"
"Carers","2022","Female","29-42 hours unpaid help per week","Others not in labour force","Number","240"
"Carers","2022","Female","43 or more hours unpaid help per week","All persons aged 15 years and over","Number","56615"
"Carers","2022","Female","43 or more hours unpaid help per week","Persons at work","Number","18620"
"Carers","2022","Female","43 or more hours unpaid help per week","Unemployed looking for first regular job","Number","148"
"Carers","2022","Female","43 or more hours unpaid help per week","Unemployed having lost or given up previous job","Number","1588"
"Carers","2022","Female","43 or more hours unpaid help per week","Student or pupil","Number","870"
"Carers","2022","Female","43 or more hours unpaid help per week","Looking after home/family","Number","22485"
"Carers","2022","Female","43 or more hours unpaid help per week","Retired","Number","7854"
"Carers","2022","Female","43 or more hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","2760"
"Carers","2022","Female","43 or more hours unpaid help per week","Others not in labour force","Number","2290"
"Carers","2022","Female","Not stated","All persons aged 15 years and over","Number","8713"
"Carers","2022","Female","Not stated","Persons at work","Number","3670"
"Carers","2022","Female","Not stated","Unemployed looking for first regular job","Number","81"
"Carers","2022","Female","Not stated","Unemployed having lost or given up previous job","Number","455"
"Carers","2022","Female","Not stated","Student or pupil","Number","328"
"Carers","2022","Female","Not stated","Looking after home/family","Number","1919"
"Carers","2022","Female","Not stated","Retired","Number","1373"
"Carers","2022","Female","Not stated","Unable to work due to permanent sickness or disability","Number","681"
"Carers","2022","Female","Not stated","Others not in labour force","Number","206"
